,Employee ID,Name,Email Address,Phone No.,Gender,City,Department,Joining Date,Last Review Date,Salary (INR),Monthly Revenue,Is Active?,Performance Rating,Product Sold,Units_Sold,Discount %
0,EMP6534,Pooja Shah,pooja.shah@company.in,9228777251,Female,Kolkata,HR,2020-04-03,2023-08-15,112994.22453222453,39909.86,Inactive,1.0,Laptop,268.0,30.0
1,EMP6694,Rohit Chopra,rohit.chopra@company.in,0450063553,Male,Lucknow,Marketing,2021-01-16,2020-08-13,124655.0,10691.49,Inactive,3.0,Tablet,237.0,13.0
2,EMP2241,Divya Mishra,divya.mishra@yahoo.com,5326949684,Male,Jaipur,Sales,2023-10-31,2020-11-26,154478.0,36779.25,Inactive,4.0,Tablet,46.0,49.0
3,EMP5407,Vikram Rao,vikram.rao@hotmail.com,7082139865,Male,Delhi,Engineering,2024-01-28,2024-02-29,119182.0,573.76,Active,5.0,Headphones,381.0,25.0
4,EMP5436,"Nair, Kavya",nair.kavya@company.in,5353896298,Female,Kolkata,Marketing,2020-11-04,2022-08-30,144974.0,35043.19,Active,2.0,Headphones,147.0,21.0
5,EMP1152,  Kiran Mishra  ,kiran.mishra@gmail.com,1627136111,Other,Delhi,Operations,2020-05-20,2020-12-02,80851.0,7993.02,Inactive,1.0,Mobile,197.0,27.0
7,EMP1519,Meera Reddy,meera.reddy@gmail.com,,Female,Hyderabad,Engineering,2023-11-18,2020-06-01,172720.0,9378.05,Active,4.0,Smartwatch,124.0,54.0
8,EMP4361,Suresh Singh,suresh.singh@hotmail.com,5525782841,Male,Ahmedabad,HR,2020-09-01,2021-08-28,175399.0,40079.02,Active,4.0,Tablet,60.0,25.0
9,EMP3928,Lakshmi Reddy,lakshmi.reddy@hotmail.com,7852282305,Female,Hyderabad,Marketing,2020-08-12,2020-09-27,112994.22453222453,14324.21,Active,3.0,Laptop,0.0,18.0
10,EMP3376,Rajesh,rajesh@hotmail.com,2766372395,Male,Ahmedabad,Marketing,2021-09-09,2024-03-20,127254.0,7684.92,Active,3.0,Laptop,273.0,54.0
11,,Lakshmi Sharma,lakshmi.sharma@company.in,7660465586,Male,Jaipur,Engineering,2021-07-30,2022-07-10,108522.0,44843.05,Active,1.0,Mobile,411.0,5.0
