Employee ID,Name,Email Address,Phone No.,Gender,City,Department,Joining Date,Last Review Date,Salary (INR),Monthly Revenue,Is Active?,Performance Rating,Product Sold,Units_Sold,Discount %
EMP6534,Pooja Shah,pooja.shah@company.in,9228777251,woman,Kolkata,H R,03-Apr-20,08/15/2023,N/A,39909.86,false,1,Laptop,268,30%
EMP6694,Rohit Chopra,rohit.chopracompany.in,+910450063553,man,Lucknow,Marketting,16-Jan-21,13.08.2020,124655/-,10691.49,INACTIVE,3,Tablet,237,13%
EMP2241,Divya Mishra,divya.mishra@yahoo.com,(532) 694-9684,Man,Jaipur,Sls,"October 31, 2023",11/26/2020, 154478 ,36779.25,false,4,,46,49%
EMP5407,Vikram Rao,vikram.rao@hotmail.com,(708) 213-9865,Male,Delhi,Enginering,28-Jan-24,2024/02/29,119182,₹573.76,True,5,Headphones,381,25%
EMP5436,"Nair, Kavya",nair.kavya@company.in,5353896298,F,Kolkata,Marketting,"November 04, 2020",08/30/2022,144974,35043.19,active,2,Headphones,147,21%
EMP1152,  Kiran Mishra  ,KIRAN.MISHRAGMAIL.COM,1627136111,other,Delhi,Ops,20-05-2020,02-Dec-20,80851 ,7993.02,0,1,Mobile,197,27%
EMP2479,Rohit Chopra,rohit.chopra@company.in,+912319818984,male,Pune,H R,2024-02-18,03 Mar 2024,Rs.82149,9170.14,Yes,1.3,Mobile,217,15%
EMP1519,Meera Reddy,meera.reddy@gmail.com,N/A,female,Hyderabad,Eng,18-Nov-23,"June 01, 2020",172720,9378.05,1,4,Smartwatch,124,54%
EMP4361,Suresh Singh,suresh.singhhotmail.com,5525782841,MAN,Ahmedabad,H.R.,09.01.2020,28-Aug-21,175399,40079.02,na,4,Tablet,60,25%
EMP3928,LAKSHMI REDDY,lakshmi.reddy@hotmail.com,7852282305,Female,Hyderabad,Mktg,08-12-2020,27 Sep 2020,N/A,₹14324.21,true,7,Laptop,0,18%
EMP3376,Rajesh,rajesh@hotmail.com,+91-27663-72395,male,Ahmedabad,MKTG,09-Sep-21,20 Mar 2024,127254%,7684.92,T,3,Laptop,273,54%
,Lakshmi Sharma,lakshmi.sharma@company.in,76604 65586,Man,Jaipur,ENGG,"July 30, 2021",07/10/2022,108522,$44843.05,T,1,Mobile,411,5%
EMP4059,Neha Gupta,neha.gupta@gmail.com,+917461917798,woman,Delhi,engineering,23 Nov 2022,15-03-2024, 164497 ,26457.14,active,na,Smartwatch,340,23%
EMP5221,Siddharth Patel,siddharth.patel@gmail,83337 21885,Man,Bangalore,Engg.,09/12/2022,2020-04-26,Rs.138290,$23922.12,,4,Monitor,203,25%
EMP1924,Arjun Pandey,arjun.pandey@gmail.com,(763) 177-4954,O,Chennai,Operations,05 Mar 2023,12/01/2021,72398.00 INR,₹4262.67,0,7,Smartwatch,78,32%
EMP4304,Vikram Bose,vikram.bose@gmail.com,+917169385977,male,Ahmedabad,HumanResources,"December 28, 2023",2020-12-24,186935,23162.49,Active,1,Tablet,322,42%
EMP9653,Divya,divya@company.in,39785 59821,female,Delhi,finance,07/25/2020,??,90898.00 INR,18216.31,Yes,5,Smartwatch,30,57%
EMP4748,Meera Mehta,meera.mehta@outlook.com,N/A,MALE,Ahmedabad,Salez,2023/10/18,11/20/2022,Rs.186555,$41654.17,y,7,Laptop,494,59%
